date,city,pm25,pm10,no2,so2,co,o3,aqi_proxy
2025-07-01,New Delhi,49.07,87.82,31.23,8.71,1.37,15.05,134.17
2025-07-02,New Delhi,46.47,92.83,29.81,10.87,1.66,18.83,127.68
2025-07-03,New Delhi,46.81,141.84,52.23,7.24,1.19,16.2,128.52
2025-07-04,New Delhi,61.13,90.77,37.52,16.39,1.56,26.8,156.03
2025-07-05,New Delhi,54.81,86.94,43.74,7.85,2.1,19.09,148.54
2025-07-06,New Delhi,42.34,76.31,27.6,9.12,0.59,21.1,117.35
2025-07-07,New Delhi,42.71,114.88,38.93,8.28,1.38,21.04,118.28
2025-07-08,New Delhi,64.47,79.82,28.5,7.01,0.97,24.45,159.55
2025-07-09,New Delhi,51.28,124.74,43.81,17.59,1.53,20.85,139.7
2025-07-10,New Delhi,34.98,115.33,37.58,12.35,1.1,24.6,99.1
2025-07-11,New Delhi,52.43,103.51,31.04,13.97,2.38,15.99,142.59
2025-07-12,New Delhi,56.87,61.87,40.62,4.79,1.35,14.64,151.55
2025-07-13,New Delhi,46.38,116.11,20.88,9.32,1.35,32.11,127.45
2025-07-14,New Delhi,55.18,77.13,32.58,15.07,1.85,16.68,149.45
2025-07-15,New Delhi,46.72,96.06,32.36,5.27,1.29,30.76,128.3
2025-07-16,New Delhi,44.67,97.6,36.97,17.05,1.56,28.7,123.18
2025-07-17,New Delhi,42.34,94.96,36.35,8.08,1.48,27.93,117.35
2025-07-18,New Delhi,41.32,101.92,42.66,7.93,2.0,23.06,114.8
2025-07-19,New Delhi,47.04,59.29,32.87,11.51,2.26,25.67,129.1
2025-07-20,New Delhi,62.05,74.59,34.46,14.06,1.2,28.15,157.0
2025-07-21,New Delhi,58.77,106.1,33.63,7.44,2.27,26.32,153.55
2025-07-22,New Delhi,53.84,92.17,36.65,10.89,1.72,26.6,146.11
2025-07-23,New Delhi,39.02,69.29,36.11,5.16,1.43,19.46,109.04
2025-07-24,New Delhi,57.29,142.2,21.77,17.22,1.47,24.42,151.99
2025-07-25,New Delhi,32.18,119.42,35.98,10.22,0.79,22.59,93.12
2025-07-26,New Delhi,59.52,95.28,45.65,13.8,1.3,31.9,154.34
2025-07-27,New Delhi,51.08,102.4,37.52,10.61,0.51,21.1,139.21
2025-07-28,New Delhi,32.97,132.17,48.31,12.96,1.46,16.51,94.8
2025-07-29,New Delhi,41.8,139.0,30.38,3.33,1.97,31.27,115.99
2025-07-30,New Delhi,67.32,118.02,44.3,10.56,0.73,22.59,162.55
2025-07-31,New Delhi,56.48,96.71,34.35,7.51,1.16,33.2,151.14
2025-08-01,New Delhi,69.96,97.32,37.05,7.46,1.82,33.09,165.33
2025-08-02,New Delhi,31.73,110.0,40.6,11.98,2.22,34.45,92.16
2025-08-03,New Delhi,48.37,115.71,37.82,8.5,1.67,26.51,132.42
2025-08-04,New Delhi,49.3,78.76,30.67,9.03,1.22,24.29,134.74
2025-08-05,New Delhi,57.21,123.12,30.82,8.67,2.18,21.44,151.9
2025-08-06,New Delhi,50.56,97.42,45.52,13.92,2.01,22.34,137.89
2025-08-07,New Delhi,39.01,138.54,42.95,9.03,2.13,19.33,109.03
2025-08-08,New Delhi,66.48,129.62,28.64,12.15,1.87,37.68,161.66
2025-08-09,New Delhi,40.73,128.98,36.51,6.68,1.51,22.36,113.34
2025-08-10,New Delhi,34.29,102.88,41.93,11.11,1.34,21.23,97.63
2025-08-11,New Delhi,48.44,102.95,44.11,11.22,1.0,19.11,132.59
2025-08-12,New Delhi,52.13,123.37,46.88,15.72,1.61,26.85,141.82
2025-08-13,New Delhi,33.79,110.84,28.39,10.21,2.77,24.03,96.55
2025-08-14,New Delhi,39.07,108.12,31.93,7.52,2.4,29.01,109.17
2025-08-15,New Delhi,53.91,92.58,33.81,15.03,1.68,4.06,146.27
2025-08-16,New Delhi,77.71,102.73,38.57,13.66,1.75,26.85,173.48
2025-08-17,New Delhi,41.69,71.97,36.83,14.69,1.3,17.64,115.72
2025-08-18,New Delhi,64.88,92.01,33.57,9.28,1.53,12.76,159.98
2025-08-19,New Delhi,42.99,104.56,37.76,13.87,2.3,31.47,118.97
2025-08-20,New Delhi,59.78,96.28,30.92,10.45,1.79,27.27,154.61
2025-08-21,New Delhi,57.84,98.77,42.94,14.18,1.91,21.66,152.57
2025-08-22,New Delhi,38.33,81.31,29.79,11.17,1.77,13.59,107.33
2025-08-23,New Delhi,43.83,105.36,29.04,11.7,1.44,17.92,121.08
2025-08-24,New Delhi,49.76,107.52,29.31,9.67,1.75,17.78,135.9
2025-08-25,New Delhi,29.16,68.74,32.49,6.44,1.42,32.19,86.67
2025-08-26,New Delhi,29.71,90.08,51.02,11.62,1.41,21.32,87.84
2025-08-27,New Delhi,56.33,136.17,32.9,8.13,1.01,22.69,150.98
