date,city,meantemp,humidity,wind_speed,meanpressure
2025-07-01,New Delhi,28.92,56.18,9.07,1.019
2025-07-02,New Delhi,24.34,54.6,7.82,1.007
2025-07-03,New Delhi,28.14,57.3,9.33,1.018
2025-07-04,New Delhi,28.24,69.18,8.5,1.001
2025-07-05,New Delhi,28.77,56.66,9.33,1.01
2025-07-06,New Delhi,27.6,58.33,10.01,1.008
2025-07-07,New Delhi,27.04,60.3,8.63,1.014
2025-07-08,New Delhi,28.66,65.0,11.85,1.006
2025-07-09,New Delhi,26.74,57.53,8.8,1.021
2025-07-10,New Delhi,27.47,57.37,5.92,1.017
2025-07-11,New Delhi,29.11,65.67,6.24,1.012
2025-07-12,New Delhi,27.79,63.73,9.31,1.012
2025-07-13,New Delhi,28.85,62.82,8.15,1.016
2025-07-14,New Delhi,24.51,60.5,6.63,1.004
2025-07-15,New Delhi,26.81,71.39,5.84,1.02
2025-07-16,New Delhi,23.92,60.41,7.89,1.016
2025-07-17,New Delhi,28.65,67.18,6.87,1.005
2025-07-18,New Delhi,28.87,61.27,5.02,0.999
2025-07-19,New Delhi,25.25,65.4,7.85,1.017
2025-07-20,New Delhi,26.17,63.37,8.82,1.007
2025-07-21,New Delhi,27.87,58.44,6.84,1.006
2025-07-22,New Delhi,24.5,65.34,6.63,1.01
2025-07-23,New Delhi,27.79,65.1,8.9,1.009
2025-07-24,New Delhi,25.92,61.94,4.19,0.996
2025-07-25,New Delhi,24.06,56.43,8.37,1.001
2025-07-26,New Delhi,25.88,70.21,6.86,1.017
2025-07-27,New Delhi,24.71,61.18,5.67,1.007
2025-07-28,New Delhi,28.2,52.05,8.44,1.012
2025-07-29,New Delhi,25.27,53.74,7.71,1.005
2025-07-30,New Delhi,26.86,62.55,10.77,1.008
2025-07-31,New Delhi,24.29,63.49,8.01,1.024
2025-08-01,New Delhi,27.94,64.56,10.5,0.998
2025-08-02,New Delhi,24.93,56.86,6.79,0.996
2025-08-03,New Delhi,27.42,61.08,4.63,1.0
2025-08-04,New Delhi,26.72,67.44,11.56,1.039
2025-08-05,New Delhi,26.87,56.48,3.31,1.013
2025-08-06,New Delhi,24.36,59.92,6.35,1.009
2025-08-07,New Delhi,28.06,63.36,7.25,1.0
2025-08-08,New Delhi,22.52,59.5,7.46,1.028
2025-08-09,New Delhi,26.08,68.31,6.57,0.998
2025-08-10,New Delhi,23.83,58.06,11.83,1.002
2025-08-11,New Delhi,27.39,57.0,9.43,1.014
2025-08-12,New Delhi,25.34,62.17,6.26,1.014
2025-08-13,New Delhi,24.69,55.06,5.01,1.012
2025-08-14,New Delhi,28.71,63.38,7.33,1.013
2025-08-15,New Delhi,28.12,63.73,6.75,1.021
2025-08-16,New Delhi,26.31,71.63,7.94,0.998
2025-08-17,New Delhi,22.67,72.32,11.02,1.008
2025-08-18,New Delhi,24.59,71.18,5.36,1.001
2025-08-19,New Delhi,26.6,60.05,7.56,1.008
2025-08-20,New Delhi,25.94,70.86,7.75,1.016
2025-08-21,New Delhi,21.12,62.12,5.88,0.998
2025-08-22,New Delhi,23.42,60.41,9.4,0.997
2025-08-23,New Delhi,25.2,59.51,6.91,1.02
2025-08-24,New Delhi,26.17,70.44,7.26,1.003
2025-08-25,New Delhi,24.6,63.87,7.92,0.999
2025-08-26,New Delhi,25.19,63.79,12.6,1.029
2025-08-27,New Delhi,23.27,60.69,4.64,1.004
2025-08-28,New Delhi,25.56,69.65,6.11,1.003
2025-08-29,New Delhi,20.6,61.44,5.44,1.005
2025-08-30,New Delhi,23.11,61.85,4.05,0.995
2025-08-31,New Delhi,29.08,54.69,5.38,1.028
2025-09-01,New Delhi,30.6,55.39,6.83,1.013
2025-09-02,New Delhi,28.21,56.49,7.08,1.018
2025-09-03,New Delhi,25.59,60.16,7.3,0.996
2025-09-04,New Delhi,24.22,60.82,8.03,1.004
2025-09-05,New Delhi,25.61,68.49,7.88,1.014
2025-09-06,New Delhi,24.74,62.42,6.13,1.013
2025-09-07,New Delhi,24.41,74.97,10.72,1.014
2025-09-08,New Delhi,23.05,55.74,9.95,1.013
2025-09-09,New Delhi,25.51,51.95,9.42,1.015
2025-09-10,New Delhi,22.31,59.59,8.1,1.011
2025-09-11,New Delhi,23.92,61.79,7.07,1.012
2025-09-12,New Delhi,27.43,47.02,7.1,1.012
2025-09-13,New Delhi,25.05,60.18,4.06,1.013
2025-09-14,New Delhi,27.9,53.21,9.3,1.007
2025-09-15,New Delhi,24.3,56.1,6.9,1.023
2025-09-16,New Delhi,25.57,72.81,9.92,1.014
2025-09-17,New Delhi,27.88,65.05,9.23,1.007
2025-09-18,New Delhi,24.51,58.23,9.55,0.998
2025-09-19,New Delhi,25.92,61.27,9.91,1.018
2025-09-20,New Delhi,27.99,66.8,4.43,1.009
2025-09-21,New Delhi,21.99,59.31,10.59,1.016
2025-09-22,New Delhi,22.92,56.33,7.63,0.998
2025-09-23,New Delhi,22.97,64.29,9.88,1.016
2025-09-24,New Delhi,19.72,64.24,7.71,1.014
2025-09-25,New Delhi,27.53,50.04,6.39,1.016
2025-09-26,New Delhi,21.13,71.27,8.31,1.018
2025-09-27,New Delhi,23.14,67.3,9.71,1.012
2025-09-28,New Delhi,24.75,64.04,5.84,1.009
2025-07-01,Mumbai,29.54,67.02,9.95,0.999
2025-07-02,Mumbai,29.53,73.61,6.47,1.002
2025-07-03,Mumbai,30.12,69.79,7.98,1.023
2025-07-04,Mumbai,31.36,69.77,9.06,1.033
2025-07-05,Mumbai,29.16,52.7,11.16,1.005
2025-07-06,Mumbai,29.72,72.58,4.75,0.997
2025-07-07,Mumbai,26.23,59.96,8.83,1.015
2025-07-08,Mumbai,29.92,56.25,3.33,1.011
2025-07-09,Mumbai,28.36,67.48,9.36,1.011
2025-07-10,Mumbai,30.75,66.1,9.01,1.003
2025-07-11,Mumbai,28.8,65.9,9.59,1.006
2025-07-12,Mumbai,30.14,63.13,7.72,1.018
2025-07-13,Mumbai,25.04,56.94,4.99,0.987
2025-07-14,Mumbai,27.6,69.22,7.38,1.012
2025-07-15,Mumbai,31.07,72.69,7.82,1.024
2025-07-16,Mumbai,29.01,59.7,6.76,0.995
2025-07-17,Mumbai,26.98,62.57,9.56,1.027
2025-07-18,Mumbai,25.93,67.08,5.87,1.015
2025-07-19,Mumbai,28.37,53.74,9.81,1.004
2025-07-20,Mumbai,27.49,58.3,6.65,1.014
2025-07-21,Mumbai,28.12,66.69,8.68,1.023
2025-07-22,Mumbai,27.75,55.86,10.09,1.007
2025-07-23,Mumbai,30.6,67.02,7.69,1.013
2025-07-24,Mumbai,32.21,77.18,8.09,1.012
2025-07-25,Mumbai,30.39,59.65,8.62,1.01
2025-07-26,Mumbai,28.81,59.72,4.77,0.989
2025-07-27,Mumbai,25.88,61.97,7.37,1.029
2025-07-28,Mumbai,30.27,58.95,8.65,1.006
2025-07-29,Mumbai,27.42,65.83,9.19,1.007
2025-07-30,Mumbai,30.06,57.87,7.97,1.036
2025-07-31,Mumbai,28.32,73.32,8.14,1.016
2025-08-01,Mumbai,27.7,63.7,6.39,1.014
2025-08-02,Mumbai,26.05,68.72,10.12,1.014
2025-08-03,Mumbai,27.12,67.45,7.34,1.019
2025-08-04,Mumbai,23.97,62.71,3.97,0.995
2025-08-05,Mumbai,30.3,70.09,6.51,0.995
2025-08-06,Mumbai,21.59,61.46,12.79,1.014
2025-08-07,Mumbai,26.34,67.51,4.83,1.007
2025-08-08,Mumbai,27.61,64.21,9.54,1.013
2025-08-09,Mumbai,28.69,60.59,9.75,1.026
2025-08-10,Mumbai,25.36,59.4,10.63,1.008
2025-08-11,Mumbai,30.05,62.07,10.86,1.011
2025-08-12,Mumbai,27.71,74.11,7.23,1.001
2025-08-13,Mumbai,26.25,67.44,4.82,1.016
2025-08-14,Mumbai,26.01,71.61,3.17,1.002
2025-08-15,Mumbai,23.67,59.77,8.45,1.008
2025-08-16,Mumbai,26.49,63.77,8.36,1.0
2025-08-17,Mumbai,28.36,68.7,8.72,1.016
2025-08-18,Mumbai,27.49,76.93,7.78,1.007
2025-08-19,Mumbai,25.34,58.53,5.46,1.001
2025-08-20,Mumbai,26.66,66.73,8.06,1.002
2025-08-21,Mumbai,28.56,69.16,7.63,1.003
2025-08-22,Mumbai,27.81,65.85,5.06,1.009
2025-08-23,Mumbai,27.2,59.32,8.33,0.995
2025-08-24,Mumbai,29.3,72.21,7.45,1.014
2025-08-25,Mumbai,21.77,57.78,7.37,0.999
2025-08-26,Mumbai,27.98,76.71,5.6,1.002
2025-08-27,Mumbai,26.98,74.39,5.51,1.012
2025-08-28,Mumbai,30.11,54.81,5.39,1.006
2025-08-29,Mumbai,25.39,69.6,8.44,0.992
2025-08-30,Mumbai,27.43,61.26,10.5,1.004
2025-08-31,Mumbai,25.09,67.97,9.48,1.014
2025-09-01,Mumbai,22.96,67.95,5.89,1.012
2025-09-02,Mumbai,23.45,67.4,6.34,0.997
2025-09-03,Mumbai,27.69,66.17,6.73,1.025
2025-09-04,Mumbai,25.35,64.92,8.49,1.004
2025-09-05,Mumbai,27.14,61.52,7.13,1.024
2025-09-06,Mumbai,24.09,50.25,11.18,1.035
2025-09-07,Mumbai,25.33,53.1,7.33,1.007
2025-09-08,Mumbai,25.74,58.04,9.11,1.015
2025-09-09,Mumbai,23.1,68.92,12.06,1.012
2025-09-10,Mumbai,25.39,63.87,9.18,0.993
2025-09-11,Mumbai,26.37,62.38,11.65,1.008
2025-09-12,Mumbai,29.36,58.1,9.13,1.013
2025-09-13,Mumbai,24.26,65.79,10.38,1.007
2025-09-14,Mumbai,22.6,64.62,6.15,1.007
2025-09-15,Mumbai,25.8,54.49,4.72,1.015
2025-09-16,Mumbai,24.9,49.33,9.52,1.013
2025-09-17,Mumbai,24.5,56.82,9.63,1.013
2025-09-18,Mumbai,30.68,67.24,8.73,1.008
2025-09-19,Mumbai,27.53,68.47,10.46,1.005
2025-09-20,Mumbai,25.01,61.85,9.54,1.025
2025-09-21,Mumbai,24.95,62.17,8.58,1.008
2025-09-22,Mumbai,27.76,51.21,6.3,1.002
2025-09-23,Mumbai,21.21,58.94,6.12,1.008
2025-09-24,Mumbai,28.07,63.25,5.89,1.009
2025-09-25,Mumbai,27.93,58.87,6.13,1.016
2025-09-26,Mumbai,25.39,68.61,7.93,1.017
2025-09-27,Mumbai,23.75,64.65,7.53,0.998
2025-09-28,Mumbai,22.69,68.84,7.25,1.0
2025-07-01,Bengaluru,28.44,69.66,3.09,0.995
2025-07-02,Bengaluru,26.71,71.66,8.21,1.018
2025-07-03,Bengaluru,26.21,56.17,8.54,1.011
2025-07-04,Bengaluru,29.52,61.77,8.2,1.012
2025-07-05,Bengaluru,29.91,67.73,4.41,0.988
2025-07-06,Bengaluru,30.29,70.02,5.61,0.991
2025-07-07,Bengaluru,28.41,68.48,11.24,1.015
2025-07-08,Bengaluru,27.4,57.53,7.67,1.007
2025-07-09,Bengaluru,26.05,75.18,11.22,1.021
2025-07-10,Bengaluru,26.17,68.02,8.93,1.014
2025-07-11,Bengaluru,30.44,66.7,9.13,1.016
2025-07-12,Bengaluru,28.56,52.19,7.82,1.004
2025-07-13,Bengaluru,25.25,72.98,11.11,1.024
2025-07-14,Bengaluru,28.25,71.0,7.67,1.012
